Countryimf,Continent,BCA_NGDPD,GGXWDG_NGDP,NGDP_RPCH,NID_NGDP,PCPIPCH,PPPPC,NY.GNS.ICTR.ZS
AFG,Asia,7.253,7.823,2.164,18.533,4.384,7.55774388317,18.0961939896
AGO,Africa,-4.78,75.253,-2.58,27.215,30.694,8.86587572093,3.04923342908
ALB,Europe,-7.563,73.187,3.352,24.277,1.275,9.37846808778,14.5406934299
ARE,Asia,3.706,20.217,2.988,27.143,1.617,11.1382371355,23.7579371422
ARM,Asia,-2.258,51.862,0.261,19.727,-1.406,9.06564830147,12.4037763544
ATG,Americas,0.151,86.215,5.348,24.343,-0.489,10.1415530951,16.6233031755
AUT,Europe,2.126,83.556,1.451,24.118,0.972,10.7803587227,20.7329649025
AZE,Asia,-3.606,50.711,-3.1,24.93,12.562,9.76405690778,26.2021508158
BDI,Africa,-13.085,48.42,-1.042,9.0,5.527,6.61494943574,22.6495926054
BEL,Europe,0.097,106.03,1.412,23.952,1.77,10.717413034,-1.99392262524
BEN,Africa,-9.417,49.678,3.969,24.594,-0.809,7.68580916493,24.1387648691
BFA,Africa,-7.248,38.266,5.915,15.761,-0.194,7.48042040982,13.1657215822
BGD,Asia,0.59,33.331,7.202,30.11,5.678,8.27006043631,19.1767267837
BGR,Europe,2.268,27.357,3.941,19.144,-1.323,9.92702588945,37.1017297379
BHR,Asia,-4.632,81.35,3.462,25.814,2.799,10.7638184767,26.5015695969
BHS,Americas,-7.329,50.482,-1.69,25.554,-0.347,10.363201076,23.9345013528
BIH,Europe,-4.853,44.081,3.215,15.907,-1.067,9.40507909896,23.0370353532
BLR,Europe,-3.499,53.482,-2.526,26.478,11.829,9.80336534849,12.1772898968
BLZ,Americas,-8.98,95.867,-0.487,22.261,0.663,9.02860012619,26.4900650033
BOL,Americas,-5.65,44.864,4.264,21.057,3.625,8.88692196221,11.4392816863
BRA,Americas,-1.313,78.43,-3.469,15.381,8.74,9.63649255274,15.3119610829
BRB,Americas,-4.251,149.122,2.273,16.018,1.512,9.81442762415,13.9895706937
BRN,Asia,12.9,3.005,-2.465,34.62,-0.739,11.2593557469,56.4120156165
BTN,Asia,-29.357,114.2,7.316,62.668,7.642,9.02673274855,30.4424503201
BWA,Africa,13.711,15.604,4.315,28.566,2.81,9.71845779187,40.1878795233
CAN,Americas,-3.212,91.147,1.414,23.18,1.422,10.7505973667,19.2213660199
CHE,Europe,9.423,41.843,1.587,22.915,-0.434,11.0126561435,22.052896268
CHL,Americas,-1.394,21.049,1.282,22.295,3.788,10.0871952732,33.7642169608
CHN,Asia,1.802,44.177,6.72,44.142,2.003,9.64307376465,19.6841494913
CIV,Africa,-1.139,46.975,8.342,20.722,0.724,8.19851073414,45.8047836333
CMR,Africa,-3.169,32.517,4.648,28.37,0.873,8.18386333235,19.6647129862
COD,Africa,-3.089,19.346,2.4,11.772,18.2,6.65120746612,16.4662172688
COG,Africa,-73.649,128.654,-2.829,60.857,3.191,8.85630095199,11.0432953819
COM,Africa,-7.39,27.674,2.157,21.031,1.8,7.355640464,18.8779929145
CRI,Americas,-2.293,44.925,4.246,18.377,-0.017,9.69557424255,28.9832958093
CYP,Asia,-4.879,106.578,3.4,16.723,-1.218,10.4740829858,15.1362897213
DEU,Europe,8.507,67.9,2.157,19.66,0.392,10.7963901621,11.9225244146
DJI,Africa,-9.444,33.677,6.5,47.521,2.7,8.12340247167,26.8516696415
DMA,Americas,0.824,71.748,2.638,19.191,0.026,9.34080610777,27.5972783975
DNK,Europe,7.321,37.868,1.967,20.977,0.25,10.7871104748,22.3782639165
DZA,Africa,-16.532,20.44,3.2,53.949,6.398,9.61297013094,28.2965416761
ECU,Americas,1.443,43.166,-1.226,24.979,1.728,9.32335677639,19.1391090111
EGY,Africa,-5.965,96.841,4.347,15.04,10.199,9.43911714685,37.2207249321
ERI,Africa,-2.103,132.81,1.85,8.107,9.0,7.32010132571,42.6638524853
ESP,Europe,1.921,98.988,3.173,20.488,-0.204,10.5057057742,25.6643472414
EST,Europe,1.896,9.417,2.063,24.243,0.8,10.2964363913,35.0411872629
ETH,Africa,-8.986,53.236,8.0,37.999,7.266,7.57428688675,24.4501478336
FIN,Europe,-0.342,62.949,2.477,22.019,0.389,10.6595572304,22.8711452966
FJI,Oceania,-2.861,47.465,0.657,18.641,3.865,9.14971301891,26.6288856259
FRA,Europe,-0.752,96.587,1.103,22.686,0.306,10.6556109618,10.0872127999
GAB,Africa,-9.907,64.199,2.082,34.174,2.086,9.80327078509,22.4102880221
GBR,Europe,-5.219,87.909,1.789,17.263,0.66,10.6692601157,24.5544990517
GEO,Asia,-12.803,44.414,2.849,32.727,2.133,9.21679092237,30.4593351822
GHA,Africa,-6.685,73.405,3.722,14.487,17.455,8.38908478209,22.0038020427
GMB,Africa,-5.916,82.349,0.406,13.011,7.225,7.8470701103,20.4906720768
GNB,Africa,1.326,57.898,6.263,8.808,1.498,7.47641009157,16.2717339504
GNQ,Africa,-12.949,43.338,-8.576,16.564,1.4,10.5695875331,21.4583246416
GTM,Americas,1.49,24.515,3.092,12.888,4.448,8.98162834544,11.8129546235
GUY,Americas,0.378,50.737,3.356,14.593,0.827,8.96561471854,19.8516298179
HKG,Asia,3.961,0.059,2.163,21.538,2.411,10.975497174,8.27200331192
HND,Americas,-2.712,38.499,3.752,23.318,2.725,8.5743106822,-5.52129344276
HRV,Europe,2.591,82.276,3.536,20.764,-1.125,10.0588589869,14.8673654523
HTI,Americas,-1.01,33.884,1.453,30.486,13.378,7.48763857214,7.74854228365
IDN,Asia,-1.818,28.335,5.033,33.845,3.526,9.37010227938,10.075559809
IRL,Europe,-4.168,73.556,4.914,37.874,-0.2,11.124002144,14.2454334927
IRN,Asia,4.026,47.47,12.518,33.534,9.05,9.86670208776,29.9244300647
ISL,Europe,7.509,51.697,7.352,21.603,1.697,10.8338861981,25.4988809052
ISR,Asia,3.758,62.286,3.961,20.483,-0.545,10.4704909845,19.5310958516
ITA,Europe,2.561,132.041,0.858,17.095,-0.05,10.5164680594,17.3402208342
JAM,Americas,-2.72,113.603,1.504,21.316,2.349,9.10274758888,22.679412342
JOR,Asia,-9.541,95.073,2.013,18.859,-0.778,9.11139192169,39.9656178062
JPN,Asia,3.937,235.589,0.961,23.56,-0.114,10.6298945181,22.8121859097
KAZ,Asia,-6.464,19.677,1.083,27.828,14.552,10.1344244963,30.2078036143
KEN,Africa,-5.217,53.202,5.869,16.199,6.318,8.12231425158,29.6671005394
KGZ,Asia,-11.618,55.907,4.336,31.61,0.389,8.17137142383,20.8635628178
KHM,Asia,-8.636,29.124,6.953,22.9,3.025,8.22627816526,18.0795613356
KNA,Americas,-10.67,61.509,2.873,30.0,-0.342,10.2098034445,23.2908888878
KOR,Asia,7.015,39.889,2.929,29.252,0.972,10.5403317004,31.4008144898
KWT,Asia,-4.561,9.883,2.196,26.994,3.482,11.1362878286,36.3162013749
LCA,Americas,-1.901,69.21,3.37,17.363,-3.093,9.53869460372,19.5789752153
LKA,Asia,-2.137,79.609,4.469,34.979,4.004,9.42199392536,20.5537294599
LSO,Africa,-8.213,36.239,3.061,27.939,6.206,8.10336813612,12.643048463
LTU,Europe,-1.12,40.107,2.345,17.272,0.678,10.3133097215,27.334679533
LUX,Europe,5.094,20.798,3.083,17.946,0.04,11.5462931015,24.1153980581
LVA,Europe,1.372,37.391,2.209,19.563,0.099,10.156308501,11.2173868107
MAC,Asia,26.959,0.0,-0.863,21.665,2.384,11.51473875,22.4874770081
MAR,Africa,-4.221,64.858,1.126,32.638,1.647,9.00718852322,17.0861404697
MDG,Africa,0.568,38.402,4.18,14.793,6.66,7.31762932011,36.0352219298
MDV,Asia,-24.517,61.696,4.481,20.0,0.801,9.81281480819,25.6715158339
MEX,Americas,-2.164,56.762,2.898,23.738,2.822,9.87148994583,17.2164462701
MMR,Asia,-3.913,35.747,5.892,21.467,6.765,8.66526072063,16.9058752803
MNE,Europe,-16.235,66.387,2.949,26.095,-0.258,9.72612231289,21.2833892697
MOZ,Africa,-39.28,121.554,3.763,38.118,19.241,7.10698147711,32.8282339363
MRT,Africa,-15.083,100.011,1.82,39.906,1.472,8.37110396392,27.1359676072
MUS,Africa,-4.343,66.052,3.838,17.901,0.978,9.95917795048,30.5263051717
MWI,Africa,-13.586,60.279,2.27,10.756,21.727,7.03480194112,21.5176757464
MYS,Asia,2.429,56.183,4.223,25.834,2.076,10.2161109749,33.0848770236
NAM,Africa,-13.757,39.459,0.7,23.366,6.727,9.33407773428,16.2737850219
NER,Africa,-15.688,45.24,4.857,37.038,0.177,7.0245858612,21.6819921626
NGA,Africa,0.669,19.619,-1.617,15.367,15.696,8.68994779719,20.961933335
NIC,Americas,-7.504,31.154,4.659,30.711,3.524,8.61961926581,48.6084030243
NLD,Europe,8.027,61.299,2.192,20.488,0.11,10.854818425,28.3392186812
NOR,Europe,3.797,36.358,1.091,29.306,3.55,11.1546149127,18.3887371877
NPL,Asia,6.319,27.863,0.589,33.882,9.932,7.81763067653,13.6920548904
OMN,Asia,-18.683,32.483,4.979,29.343,1.1,10.7574131863,21.4154212518
PAK,Asia,-1.747,67.633,4.563,15.686,2.863,8.53776082014,30.6768742247
PAN,Americas,-5.465,37.358,4.989,44.65,0.74,10.0867114105,30.1543520647
PHL,Asia,-0.393,39.026,6.876,24.409,1.254,8.96385961409,32.8854109829
POL,Europe,-0.291,54.162,2.97,19.53,-0.583,10.2328281335,8.00809995827
PRT,Europe,0.594,129.901,1.619,15.482,0.636,10.2776352844,3.20366585366
PRY,Americas,1.153,18.925,4.313,19.724,4.082,9.4051265878,24.1432302242
ROU,Europe,-2.079,38.762,4.823,23.785,-1.555,10.0188443138,3.81848878102
RUS,Europe,1.899,16.051,-0.2,23.95,7.052,10.2021182816,28.2300544561
RWA,Africa,-15.761,37.287,5.982,25.884,5.723,7.58857124163,18.1958364676
SAU,Asia,-3.701,13.093,1.671,30.933,2.029,10.9215037874,7.78484267236
SDN,Africa,-7.553,99.521,2.994,14.26,17.75,8.37426141041,18.3382052215
SEN,Africa,-4.049,47.809,6.228,25.311,0.838,8.08846631407,15.8141014931
SGP,Asia,18.997,106.774,2.397,27.03,-0.532,11.398670522,26.1011399538
SLB,Oceania,-3.942,7.907,3.457,19.112,0.503,7.64947021803,28.7718221123
SLE,Africa,-2.33,54.883,6.297,12.275,10.883,7.31856938897,33.1790166929
SLV,Americas,-2.09,66.448,2.581,15.107,0.604,8.95423357864,40.5671457908
SSD,Africa,1.263,86.62,-13.933,17.486,379.849,7.4342597448,30.6780899132
STP,Africa,-6.504,93.062,4.179,27.531,5.433,8.0461371686,23.059604963
SUR,Americas,-5.164,75.845,-5.139,60.719,55.501,9.58568951266,26.0050308507
SVK,Europe,-1.457,51.819,3.325,22.57,-0.474,10.3557818876,19.6417662514
SVN,Europe,5.502,78.562,3.148,18.701,-0.053,10.3813307779,43.7946717003
SWZ,Africa,17.248,25.465,1.369,12.439,7.847,9.19937143252,19.3620779528
SYC,Africa,-20.067,69.06,4.503,30.221,-1.014,10.2156568506,13.4563622532
TCD,Africa,-9.18,52.408,-6.431,16.702,-1.122,7.8021091477,15.0872546091
TGO,Africa,-9.321,81.585,5.1,31.125,0.857,7.37958411652,17.6657136687
THA,Asia,11.713,41.805,3.283,21.08,0.188,9.73672451188,6.42502324616
TLS,Asia,-21.598,3.062,5.321,26.244,-1.339,8.69836341902,39.7949272424
TUN,Africa,-8.836,62.271,1.108,22.259,3.727,9.3603751072,11.3928748652
TUR,Asia,-3.838,28.311,3.184,28.227,7.775,10.1272029803,30.9615251266
TWN,Asia,13.717,36.232,1.41,20.812,1.029,10.7827360542,11.5757459871
UGA,Africa,-2.886,37.43,2.323,24.403,5.455,7.7334090147,46.1804543797
URY,Americas,0.779,61.571,1.69,17.798,9.639,9.97434281536,-13.4037937589
USA,Americas,-2.314,106.838,1.567,20.32,1.272,10.9649954763,24.970729301
UZB,Asia,0.573,10.462,7.8,24.802,7.982,8.79222944144,14.9088659362
VCT,Americas,-15.798,82.826,0.83,26.082,-0.158,9.32364861065,14.9780777659
VEN,Americas,-1.639,31.299,-16.456,15.407,254.391,9.55928260542,6.40893047087
VNM,Asia,2.942,59.942,6.211,26.578,2.668,8.76878440361,14.9780777659
VUT,Oceania,-4.646,46.059,3.467,25.569,0.842,7.88037681566,30.118968312
YEM,Asia,-5.127,68.113,-13.621,1.402,-12.563,7.87741652633,52.2384869647
ZAF,Africa,-2.786,51.566,0.565,19.353,6.341,9.50000278226,22.9768626796
ZMB,Africa,-4.461,60.668,3.757,41.757,17.869,8.27214957472,24.2969444156
ZWE,Africa,-3.43,69.92,0.665,15.556,-1.566,7.71234678126,29.3798122874
